#[[Fit Statistics]]
#    # function evals   = 31
#    # data points      = 494
#    # variables        = 6
#    chi-square         = 667.388
#    reduced chi-square = 1.368
#    Akaike info crit   = 160.613
#    Bayesian info crit = 185.828
#[[Variables]]
#    R:           62.5306 (fixed)
#    dshell:      18.3000000 +/- 0.068788 (0.38%) (init= 18.54)
#    SLDcore:     6.069e-06 (fixed)
#    SLDshell:    2.7840e-06 +/- 1.75e-08 (0.63%) (init= 2.768e-06)
#    SLDmatrix:   5.664e-06 (fixed)
#    sigR:        0.0942 (fixed)
#    sigdshell:   0 (fixed)
#    dth_sa:      0.00115702 +/- 5.73e-05 (4.95%) (init= 0.001155)
#    dth_la:      0.00159000 +/- 2.06e-05 (1.30%) (init= 0.001585)
#    i0:          0.61800000 +/- 0.007852 (1.27%) (init= 0.59)
#    bg:          0.01638000 +/- 0.000157 (0.96%) (init= 0.01458)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(SLDshell, i0)              =  0.724 
#    C(SLDshell, dth_la)          =  0.624 
#    C(i0, bg)                    = -0.463 
#    C(dshell, SLDshell)          =  0.456 
#    C(dshell, bg)                =  0.446 
#    C(dth_la, i0)                =  0.370 
#    C(dshell, dth_la)            =  0.361 
#    C(SLDshell, dth_sa)          =  0.306 
#    C(dshell, i0)                = -0.279 
#    C(dth_sa, dth_la)            =  0.242 
#    C(dshell, dth_sa)            =  0.202 
#    C(dth_sa, i0)                =  0.159 #q / A-1 	 I / cm-1 	 sI / cm-1 	 Imodel / cm-1
0.0296988	0.690435	0.0258849	0.687236890616
0.0299027	0.672028	0.0282903	0.662556905652
0.0300941	0.614521	0.0252328	0.639889334018
0.030292	0.62709	0.0273873	0.616985696735
0.030487	0.597851	0.0242708	0.59494380202
0.0306826	0.546414	0.0270074	0.573341007158
0.0308854	0.560332	0.0234887	0.551528002777
0.0310752	0.487282	0.0254419	0.531564364116
0.0312796	0.523554	0.0236036	0.510653814443
0.0314658	0.525736	0.0251056	0.49204306531
0.0316734	0.446275	0.023458	0.471914677267
0.0318553	0.393487	0.0244065	0.45467880324
0.0320607	0.430319	0.0225274	0.435816841882
0.0322426	0.405805	0.0231846	0.419521919539
0.0324475	0.402919	0.0227077	0.401743365436
0.0326354	0.385545	0.0221703	0.385885182904
0.0328428	0.400673	0.0233635	0.368955101205
0.0330312	0.380006	0.0215798	0.354022497804
0.0332334	0.344277	0.0230006	0.338532961479
0.0334229	0.329173	0.0213621	0.324463290786
0.033615	0.29782	0.0229691	0.310672142989
0.0338137	0.307444	0.0207679	0.296903339853
0.034006	0.278756	0.0230191	0.28403411672
0.034204	0.296278	0.0204543	0.271273155753
0.0343982	0.240344	0.0213711	0.259207545784
0.0346024	0.221366	0.0205048	0.247023070732
0.0347881	0.219544	0.0210855	0.236354834469
0.0349919	0.238603	0.0205316	0.225141524514
0.0351784	0.227863	0.0196859	0.215287204834
0.0353806	0.238834	0.0202315	0.205064632232
0.0355712	0.199813	0.0189089	0.195860413831
0.0357746	0.181646	0.0203348	0.186483972193
0.035964	0.190673	0.0188264	0.178174408523
0.0361654	0.155059	0.0192076	0.169754394924
0.036358	0.157002	0.0186661	0.162130963667
0.0365561	0.112737	0.0197483	0.154677674629
0.0367478	0.132179	0.0178991	0.147879485002
0.036938	0.149688	0.0196089	0.141489959679
0.0371351	0.139888	0.0174822	0.135278806874
0.0373312	0.122091	0.0183057	0.129466927829
0.0375269	0.152055	0.0183825	0.124053355191
0.0377189	0.119069	0.0177308	0.119094424218
0.0379198	0.115813	0.0179884	0.11428854731
0.038108	0.114363	0.018223	0.110118805997
0.0383067	0.111825	0.0177222	0.106069763174
0.0385022	0.126754	0.0174179	0.102437909615
0.0387024	0.110723	0.0176945	0.0990591269099
0.0388897	0.0819229	0.0179735	0.0962132539319
0.0390884	0.093002	0.0177954	0.0935108225201
0.0392846	0.0832863	0.0173258	0.0911732189887
0.0394822	0.0917611	0.0176515	0.0891195272088
0.0396775	0.0979705	0.0172399	0.0874007906257
0.0398782	0.0790686	0.0173569	0.0859293330746
0.0400713	0.0950226	0.017907	0.0848021807282
0.040264	0.106201	0.017641	0.083939760406
0.0404606	0.0822452	0.0180344	0.0833390442612
0.0406506	0.0713538	0.0178061	0.0830054302645
0.040848	0.0662318	0.0193265	0.0829204387038
0.0410413	0.0924668	0.018102	0.08308126358
0.0412415	0.0928244	0.0196343	0.0834948000956
0.0414333	0.0795807	0.0206244	0.0841220158868
0.0416282	0.0773716	0.0211594	0.0849811763284
0.0418243	0.0781134	0.0208802	0.0860660976988
0.0420214	0.0843812	0.0231169	0.0873688627477
0.0422152	0.0699927	0.0230856	0.0888557630096
0.0424122	0.0912481	0.0234752	0.0905618318941
0.0426091	0.113217	0.024171	0.0924617407162
0.0428066	0.094829	0.0252852	0.0945504668222
0.0429984	0.121245	0.0259174	0.0967517711693
0.0431947	0.115758	0.0239988	0.0991695836552
0.0433934	0.109867	0.0260968	0.101782130891
0.0435842	0.109096	0.0265186	0.104440504673
0.0437763	0.103842	0.0273133	0.107257870673
0.0439751	0.0734814	0.0283884	0.110312967156
0.0441637	0.093866	0.0298596	0.113340596657
0.0443613	0.143383	0.0288403	0.116635166758
0.0445661	0.139579	0.0318037	0.120175257603
0.0447643	0.101422	0.030506	0.123719961125
0.0449589	0.0896628	0.0326514	0.127306665594
0.0451567	0.172206	0.0322293	0.131051253832
0.0453554	0.131512	0.0382004	0.134908395001
0.0455344	0.178914	0.0387803	0.138466494765
0.0457345	0.191126	0.0356462	0.142515990913
0.0459393	0.163701	0.0379589	0.146739653268
0.0461215	0.154343	0.0452118	0.15057128754
0.0463134	0.13994	0.0409369	0.154661282651
0.0465134	0.163512	0.0514974	0.158982475127
0.0467069	0.18406	0.0508635	0.163220070557
#
0.0140473	3.91700743027	0.0287702084437	3.86790511679
0.0150806	3.64161648588	0.0235110022019	3.62018409356
0.0162737	3.34048742732	0.0181031613594	3.33593963578
0.0172453	3.04995793281	0.0142169984027	3.10501585697
0.0183835	2.83584330032	0.0129669719559	2.83852678278
0.0193338	2.62041339346	0.0131375277959	2.61881950508
0.0204306	2.37951186592	0.0108768892242	2.37167523439
0.0214189	2.17492222692	0.0108586645074	2.15494507165
0.0224886	1.9350093043	0.00900610485341	1.92899620882
0.0234959	1.71555620524	0.00861341378615	1.72504651702
0.0245878	1.52410211683	0.00726982233111	1.51570923272
0.0256185	1.33977458039	0.00738107906913	1.32980452177
0.026664	1.16105200403	0.006150996652	1.15370548237
0.0276987	0.995774454574	0.00603179668837	0.993224131245
0.0287421	0.843870580542	0.00514908425036	0.845007081838
0.0298056	0.717640346448	0.00495728629936	0.709039957466
0.0308514	0.586597755535	0.00444171593886	0.58958734002
0.0318879	0.491104537881	0.00429600417025	0.485525320593
0.0329413	0.391478951662	0.003763945599	0.393873276823
0.0340178	0.317735042243	0.00377255935665	0.314685725424
0.0350488	0.253131000221	0.00345382453395	0.251739087881
0.0361027	0.201698614356	0.00340829712825	0.200008026575
0.037142	0.159755976065	0.00317295757796	0.160552746311
0.038201	0.132903747131	0.00323885024501	0.1312928311
0.0392233	0.113680969208	0.00299132936279	0.11252797969
0.0402967	0.103776867225	0.00303240374806	0.101834348761
0.0413035	0.10010269555	0.0029963669496	0.0991667770738
0.0423605	0.102928386307	0.00292658003883	0.102976308219
0.0433868	0.114588766422	0.0029014608773	0.112084811404
0.0444662	0.129784913523	0.00289015639496	0.126313264322
0.0454828	0.149448695206	0.00291995208758	0.143068579143
0.0465569	0.165558657115	0.00287021236527	0.16326279935
0.0475874	0.188884575283	0.00288952884575	0.184143999553
0.0486531	0.208037721033	0.00291465660384	0.206397408295
0.0496398	0.233286690684	0.00295359044455	0.226903251361
0.0507101	0.252345274224	0.00284450004079	0.248315428386
0.0517496	0.270747939891	0.00288436231047	0.267699713222
0.0528166	0.286184790799	0.00292069139213	0.285631736277
0.0538396	0.299591133168	0.00283244765734	0.300544396289
0.0549323	0.317431583516	0.00287153623621	0.313660389155
0.0559416	0.322859454353	0.00289246027425	0.322977541417
0.057002	0.330555098911	0.00285375854078	0.329737494365
0.0580232	0.334901521933	0.00280713077483	0.333253836651
0.0591141	0.335748283538	0.00275923931389	0.33380444952
0.0601322	0.333888846632	0.0028120308166	0.331408151322
0.0611857	0.322955735876	0.00269823809206	0.326152361352
0.0622011	0.314182082127	0.0027475823724	0.318593527023
0.0632792	0.307073582926	0.00257386299658	0.30817582476
0.0643001	0.296781775883	0.00272127688497	0.296295175396
0.0653523	0.281322573907	0.00247734936672	0.282332913633
0.066397	0.264417429779	0.00260773346079	0.2670681163
0.0674465	0.247865604453	0.0024140442656	0.250671748033
0.0684998	0.233015039245	0.0024940009122	0.233493738482
0.0695494	0.212138282309	0.00234759282186	0.215984879488
0.0706078	0.193095172585	0.00238360383063	0.19827944655
0.0716538	0.180924156538	0.00228366017153	0.181021576796
